id,format,rating,uploadtime
gen7nu-820572195,[Gen 7] NU,1101.0,1539598456
gen7nu-820606256,[Gen 7] NU,1102.0,1539607243
gen7nu-820607144,[Gen 7] NU,1259.0,1539607569
gen7nu-820621034,[Gen 7] NU,1024.0,1539610761
gen7nu-820647829,[Gen 7] NU,1058.0,1539614914
gen7nu-820663816,[Gen 7] NU,1059.0,1539617515
gen7nu-820668881,[Gen 7] NU,1292.0,1539617853
gen7nu-820673419,[Gen 7] NU,1019.0,1539618795
gen7nu-820675609,[Gen 7] NU,1028.0,1539620130
gen7nu-820698572,[Gen 7] NU,1037.0,1539622197
gen7nu-820700060,[Gen 7] NU,1497.0,1539622309
gen7nu-820713483,[Gen 7] NU,1039.0,1539624028
gen7nu-820717252,[Gen 7] NU,1181.0,1539624331
gen7nu-820724538,[Gen 7] NU,1563.0,1539625539
gen7nu-820758392,[Gen 7] NU,1153.0,1539629496
gen7nu-830616735,[Gen 7] NU,1162.0,1543934993
gen7nu-830620437,[Gen 7] NU,1057.0,1543935410
gen7nu-830658972,[Gen 7] NU,1085.0,1543940346
gen7nu-830659357,[Gen 7] NU,1121.0,1543940373
gen7nu-830660671,[Gen 7] NU,1426.0,1543940573
gen7nu-830718676,[Gen 7] NU,1068.0,1543947628
gen7nu-830779319,[Gen 7] NU,1491.0,1543954816
gen7nu-830845831,[Gen 7] NU,1214.0,1543962563
gen7nu-830861942,[Gen 7] NU,1051.0,1543964698
gen7nu-830872178,[Gen 7] NU,1032.0,1543965884
gen7nu-830876779,[Gen 7] NU,1197.0,1543966515
gen7nu-830902300,[Gen 7] NU,1320.0,1543971095
gen7nu-830905416,[Gen 7] NU,1341.0,1543970724
